trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,0,-38.08626859302165,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,9,-26.5008186483335,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",30,0,-21.234190964798742,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",20,4,-121.9877285158783,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.4181203352191771}",20,0,-40.052373097465626,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582182}",20,0,-157.21050343897696,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530725}",30,0,-81.3182780877386,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.3584859224085419}",20,10,8.109861652319033,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.3405616262881148}",30,0,-50.21902897950479,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.323533544973709}",25,10,0.11190643784146026,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.3073568677250236}",25,10,11.290453195947439,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387724}",25,4,15.187488631267325,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183377}",25,3,-50.512067597926965,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.26352009446574204}",30,9,17.396211349690134,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.2503440897424549}",20,0,-68.73400912167226,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.23782688525533216}",25,2,-40.13095750835572,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.22593554099256555}",30,17,19.896948188522853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.21463876394293727}",20,15,8.139327431376712,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
